hh,sex,age,lga,edu,mrt_status,fmly_size,m_income,cfuel,ipollut,rbiomass,dailycook,avl_lpg,aff_lpg,Electricity,hrs_elect,aff_elct,exp_elct,source_light,exp_lpg,exp_nonlpg,aff_solide,hh_appl,edu_appl,c_appl,occupation,hh_exp,housing,wall,floor,rooms,bank,bank_acct,b_facility,road,raod_dist,schl,type_sch,dst_sch,sch_days,sch_drpout,chld_labor,h_facility,dist_hfacility,illiness,waterborne,resp_disease,eye_disease,child_death,maternalcare,square_meal,health_ins,rooms_per_person,people_per_room
114.0,1,3.0,1,3,1,5,3,4,1,2.0,2.0,1,5,1.0,8.0,2.0,2000.0,2.0,0.0,4500.0,2,1,1,1,2,60000.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,2,1,1.0,1.0,5,2,0.0,1.0,1.0,2.0,2,0.0,0,1,2.0,3.0,2.0,0.6666666666666666,1.0
115.0,1,2.0,1,2,1,6,2,4,1,2.0,2.0,1,5,1.0,8.0,2.0,2000.0,1.0,0.0,4500.0,2,1,1,1,2,60000.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2,1,2.0,1.0,5,2,0.0,1.0,0.5,3.0,3,0.0,0,1,2.0,3.0,2.0,0.2857142857142857,2.0
116.0,1,4.0,1,5,4,7,7,6,1,2.0,3.0,1,2,1.0,8.0,2.0,2000.0,2.0,0.0,4500.0,2,1,1,1,1,60000.0,2.0,3.0,3.0,7.0,1.0,1.0,2.0,1.0,1,1,3.0,1.0,5,2,0.0,1.0,0.5,4.0,4,0.0,0,0,2.0,3.0,2.0,0.875,0.875
117.0,1,4.0,1,2,1,12,3,4,2,2.0,2.0,1,5,2.0,0.0,2.0,0.0,2.0,0.0,4500.0,2,2,2,1,6,60000.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1,1,2.0,0.5,5,1,0.0,1.0,1.0,8.0,6,0.0,2,2,1.0,3.0,2.0,0.15384615384615385,4.0
118.0,1,5.0,1,1,1,10,3,3,2,2.0,2.0,2,5,1.0,8.0,2.0,2000.0,1.0,0.0,4500.0,2,2,2,1,2,60000.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1,3.0,1.0,5,1,0.0,1.0,0.5,5.0,5,0.0,0,0,1.0,3.0,2.0,0.18181818181818182,3.3333333333333335
119.0,1,5.0,1,1,1,8,3,4,2,2.0,1.0,1,5,2.0,0.0,2.0,0.0,2.0,0.0,4500.0,2,2,2,1,6,60000.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1,1,2.0,0.5,5,1,0.0,1.0,0.5,6.0,6,0.0,3,2,2.0,3.0,2.0,0.2222222222222222,2.6666666666666665
120.0,1,2.0,2,7,4,5,4,6,1,2.0,3.0,1,2,1.0,0.0,2.0,2000.0,1.0,4500.0,0.0,2,1,1,1,1,70000.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,2,1,1.0,1.0,5,2,0.0,1.0,2.0,4.0,5,0.0,0,0,1.0,3.0,1.0,0.6666666666666666,1.0
121.0,1,2.0,2,3,4,3,3,6,1,2.0,2.0,1,2,1.0,15.0,2.0,2000.0,1.0,1800.0,3500.0,2,1,1,1,1,50000.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,3,1,1.0,2.0,5,2,0.0,1.0,3.0,3.0,0,0.0,0,0,1.0,3.0,1.0,1.0,0.6
122.0,1,4.0,2,6,4,10,3,7,1,2.0,2.0,1,2,1.0,12.0,2.0,2000.0,1.0,6000.0,3500.0,2,1,1,1,2,50000.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,3,1,2.0,1.0,5,2,0.0,1.0,2.0,4.0,0,0.0,0,0,1.0,3.0,1.0,0.45454545454545453,1.6666666666666667
123.0,1,2.0,2,4,1,7,3,2,2,1.0,3.0,2,4,1.0,0.0,2.0,3000.0,2.0,4500.0,0.0,3,1,1,1,1,50000.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,2,1,1.0,1.0,4,1,0.0,1.0,1.0,3.0,0,0.0,1,2,1.0,3.0,1.0,0.625,1.1666666666666667
124.0,1,2.0,2,1,1,8,1,3,1,1.0,3.0,2,3,2.0,0.0,2.0,1000.0,2.0,4500.0,3500.0,3,2,1,1,2,5000.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1,1,3.0,1.0,5,2,0.0,1.0,1.0,4.0,0,0.0,0,2,1.0,3.0,2.0,0.4444444444444444,1.6
125.0,1,3.0,2,5,4,7,6,6,1,1.0,3.0,1,2,1.0,0.0,2.0,2000.0,2.0,4000.0,0.0,2,1,1,1,1,5000.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,2,1,1.0,2.0,5,2,0.0,1.0,2.0,5.0,0,0.0,0,0,1.0,3.0,1.0,0.625,1.1666666666666667
126.0,1,3.0,2,3,1,6,1,4,1,2.0,3.0,2,4,2.0,0.0,2.0,2000.0,2.0,0.0,3500.0,3,1,1,1,1,30000.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,2,1,1.0,2.0,5,2,0.0,1.0,2.0,4.0,0,0.0,0,0,1.0,3.0,1.0,0.5714285714285714,1.2
127.0,1,2.0,2,6,4,4,2,6,1,2.0,3.0,1,2,1.0,4.0,2.0,800.0,2.0,4000.0,0.0,2,1,1,1,1,6000.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1,1,1.0,0.5,5,2,1.0,1.0,1.0,2.0,0,1.0,0,0,2.0,3.0,1.0,0.6,1.0
128.0,1,4.0,2,1,1,5,1,3,2,2.0,2.0,2,3,2.0,0.0,2.0,800.0,2.0,0.0,3000.0,3,2,1,1,2,65000.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2,1,2.0,0.5,4,2,2.0,1.0,1.0,6.0,4,3.0,3,2,1.0,2.0,2.0,0.5,1.25
129.0,1,3.0,2,4,2,10,2,3,1,2.0,3.0,1,3,1.0,10.0,1.0,1000.0,5.0,5.0,3.0,3,1,1,2,2,60000.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,2,1,1.0,2.0,5,1,5.0,1.0,5.0,10.0,3,6.0,0,2,1.0,5.0,1.0,0.36363636363636365,2.0
130.0,1,3.0,2,6,1,7,2,4,2,3.0,3.0,1,3,2.0,0.0,2.0,500.0,2.0,0.0,0.0,3,1,1,1,3,80000.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,2,1,1.0,3.0,5,1,1.0,1.0,2.0,4.0,2,3.0,1,2,2.0,3.0,1.0,0.625,1.1666666666666667
